offer_id,price,old_price,currency,availability
НФ-00004994,304.02,,UAH,true
НФ-00005114,554.47,,UAH,true
НФ-00007536,554.47,,UAH,true
НФ-00005355,2707.56,,UAH,true
НФ-00007435,277.24,,UAH,true
НФ-00007436,370.06,,UAH,true
НФ-00007635,776.89,,UAH,true
НФ-00006235,37.38,,UAH,true
НФ-00007434,221.79,,UAH,true
НФ-00007848,92.2,,UAH,true
НФ-00007039,132.08,,UAH,true
НФ-00007849,409.32,,UAH,true
НФ-00005899,350.13,,UAH,true
НФ-00007040,99.06,,UAH,true
НФ-00004119,290.32,,UAH,true
НФ-00007451,237.99,,UAH,true
НФ-00008031,244.22,,UAH,true
НФ-00003914,462.27,,UAH,true
НФ-00008053,171.95,,UAH,true
НФ-00007873,191.27,,UAH,true
НФ-00007653,152.01,,UAH,true
НФ-00007621,2509.44,,UAH,true
НФ-00007384,99.06,,UAH,true
НФ-00002178,36.13,,UAH,true
НФ-00005173,264.15,,UAH,true
НФ-00006119,1023.6,,UAH,true
НФ-00002559,145.17,,UAH,true
НФ-00005107,1221.71,,UAH,true
НФ-00007387,237.99,,UAH,true
НФ-00002541,158.24,,UAH,true
НФ-00006126,660.38,,UAH,true
НФ-00006115,72.9,,UAH,true
НФ-00006118,66.04,,UAH,true
НФ-00002571,178.18,,UAH,true
НФ-00002569,343.28,,UAH,true
НФ-00007612,396.23,,UAH,true
НФ-00007613,482.2,,UAH,true
НФ-00000609,92.2,,UAH,true
НФ-00000395,198.11,,UAH,true
НФ-00008041,251.08,,UAH,true
НФ-00006211,429.25,,UAH,true
НФ-00000638,33.03,,UAH,true
НФ-00000644,746.35,,UAH,true
НФ-00000643,634.21,,UAH,true
НФ-00002640,224.28,,UAH,true
НФ-00002634,79.13,,UAH,true
НФ-00000640,372.55,,UAH,true
НФ-00004968,297.18,,UAH,true
НФ-00005930,350.13,,UAH,true
НФ-00000642,515.23,,UAH,true
НФ-00002626,113.39,,UAH,true
НФ-00006208,383.15,,UAH,true
НФ-00002631,105.91,,UAH,true
НФ-00005359,363.22,,UAH,true
НФ-00000641,451.68,,UAH,true
НФ-00002619,264.15,,UAH,true
НФ-00004942,11.84,,UAH,true
НФ-00000631,825.48,,UAH,true
НФ-00005985,409.32,,UAH,true
НФ-00004347,52.96,,UAH,true
НФ-00004348,89.1,,UAH,true
НФ-00000871,845.42,,UAH,true
НФ-00004350,33.03,,UAH,true
НФ-00004357,9.97,,UAH,true
НФ-00004346,14.95,,UAH,true
НФ-00006018,2971.71,,UAH,true
НФ-00004360,29.29,,UAH,true
НФ-00004349,21.18,,UAH,true
НФ-00004352,8.11,,UAH,true
НФ-00007924,56.07,,UAH,true
НФ-00003221,122.11,,UAH,true
НФ-00004362,6.86,,UAH,true
НФ-00003220,41.75,,UAH,true
НФ-00005134,297.18,,UAH,true
НФ-00003222,231.14,,UAH,true
НФ-00007925,66.04,,UAH,true
НФ-00006209,89.1,,UAH,true
НФ-00005954,475.36,,UAH,true
НФ-00007483,1188.68,,UAH,true
НФ-00000647,18.07,,UAH,true
НФ-00007395,247.95,,UAH,true
НФ-00008014,1386.8,,UAH,true
НФ-00007618,475.36,,UAH,true
НФ-00005955,411.81,,UAH,true
НФ-00004929,28.04,,UAH,true
НФ-00003224,290.32,,UAH,true
НФ-00007994,198.11,,UAH,true
НФ-00002390,165.1,,UAH,true
НФ-00007948,825.48,,UAH,true
НФ-00003431,119,,UAH,true
НФ-00001793,115.88,,UAH,true
НФ-00007946,924.53,,UAH,true
НФ-00007950,792.46,,UAH,true
НФ-00007979,264.15,,UAH,true
НФ-00002083,5613.23,,UAH,true
НФ-00007351,145.17,,UAH,true
НФ-00006145,7264.18,,UAH,true
НФ-00007947,1056.61,,UAH,true
НФ-00007951,891.52,,UAH,true
НФ-00007381,673.47,,UAH,true
НФ-00002749,4094.36,,UAH,true
НФ-00006090,607.43,,UAH,true
НФ-00002754,4490.58,,UAH,true
НФ-00002762,3301.9,,UAH,true
НФ-00003646,257.31,,UAH,true
НФ-00002786,3433.98,,UAH,true
НФ-00003650,297.18,,UAH,true
НФ-00003573,370.06,,UAH,true
НФ-00002775,1254.72,,UAH,true
НФ-00002763,4952.85,,UAH,true
НФ-00002784,660.38,,UAH,true
НФ-00008013,561.33,,UAH,true
НФ-00002781,396.23,,UAH,true
НФ-00002785,4094.36,,UAH,true
НФ-00005308,396.23,,UAH,true
НФ-00000538,1386.8,,UAH,true
НФ-00000537,1518.87,,UAH,true
НФ-00003250,653.53,,UAH,true
НФ-00000273,1849.06,,UAH,true
НФ-00003256,2047.18,,UAH,true
НФ-00005986,3830.2,,UAH,true
НФ-00007179,165.1,,UAH,true
НФ-00008046,3632.09,,UAH,true
НФ-00002880,297.18,,UAH,true
НФ-00002885,297.18,,UAH,true
НФ-00002872,677.21,,UAH,true
НФ-00002897,660.38,,UAH,true
НФ-00002869,436.1,,UAH,true
НФ-00002868,436.1,,UAH,true
НФ-00002883,297.18,,UAH,true
НФ-00002920,627.37,,UAH,true
НФ-00002916,627.37,,UAH,true
НФ-00002926,297.18,,UAH,true
НФ-00002929,297.18,,UAH,true
НФ-00002922,693.41,,UAH,true
НФ-00002925,297.18,,UAH,true
НФ-00002905,330.19,,UAH,true
НФ-00002937,528.3,,UAH,true
НФ-00002800,304.02,,UAH,true
НФ-00002825,693.41,,UAH,true
НФ-00002799,304.02,,UAH,true
НФ-00002798,304.02,,UAH,true
НФ-00007712,792.46,,UAH,true
НФ-00005081,13207.6,,UAH,true
НФ-00001620,3433.98,,UAH,true
НФ-00006364,891.52,,UAH,true
НФ-00003261,924.53,,UAH,true
НФ-00000637,389.38,,UAH,true
НФ-00007543,264.15,,UAH,true
НФ-00001619,2113.22,,UAH,true
НФ-00005080,8717.02,,UAH,true
НФ-00002221,363.22,,UAH,true
НФ-00005264,224.28,,UAH,true
НФ-00000167,125.23,,UAH,true
НФ-00000177,178.18,,UAH,true
НФ-00000188,198.11,,UAH,true
НФ-00008033,145.17,,UAH,true
НФ-00007966,178.18,,UAH,true
НФ-00006017,105.91,,UAH,true
НФ-00004377,4.37,,UAH,true
НФ-00000657,594.34,,UAH,true
НФ-00004389,231.14,,UAH,true
НФ-00004376,4.98,,UAH,true
НФ-00004385,158.24,,UAH,true
НФ-00004387,178.18,,UAH,true
НФ-00007632,1386.8,,UAH,true
НФ-00007391,508.37,,UAH,true
НФ-00007167,34.89,,UAH,true
НФ-00007408,211.2,,UAH,true
НФ-00006997,726.42,,UAH,true
НФ-00007340,92.2,,UAH,true
НФ-00006008,99.06,,UAH,true
НФ-00007226,574.41,,UAH,true
НФ-00005338,79.13,,UAH,true
НФ-00007082,132.08,,UAH,true
НФ-00000669,561.33,,UAH,true
НФ-00003273,396.23,,UAH,true
НФ-00006232,28.66,,UAH,true
НФ-00004781,1783.03,,UAH,true
НФ-00007967,297.18,,UAH,true
НФ-00007165,594.34,,UAH,true
НФ-00003265,105.91,,UAH,true
НФ-00007973,251.08,,UAH,true
НФ-00008039,363.22,,UAH,true
НФ-00006228,72.9,,UAH,true
НФ-00003279,3500.01,,UAH,true
НФ-00006273,198.11,,UAH,true
НФ-00003280,5084.93,,UAH,true
НФ-00002234,614.28,,UAH,true
НФ-00007859,845.42,,UAH,true
НФ-00003282,5018.89,,UAH,true
НФ-00006976,85.97,,UAH,true
НФ-00007687,132.08,,UAH,true
НФ-00003416,23113.3,,UAH,true
НФ-00007858,845.42,,UAH,true
НФ-00007857,1452.84,,UAH,true
НФ-00000671,52.96,,UAH,true
НФ-00004961,409.32,,UAH,true
НФ-00003312,178.18,,UAH,true
НФ-00003302,66.04,,UAH,true
НФ-00003298,145.17,,UAH,true
НФ-00003311,132.08,,UAH,true
НФ-00007540,1518.87,,UAH,true
НФ-00007541,3830.2,,UAH,true
НФ-00005157,224.28,,UAH,true
НФ-00000951,132.08,,UAH,true
НФ-00005945,138.94,,UAH,true
НФ-00005947,198.11,,UAH,true
НФ-00000961,125.23,,UAH,true
